freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.010e+02,3.604e+00,8.197e+00,1.128e+02
1.5,6.624e+01,1.610e+01,3.833e+01,1.207e+02
3.0,2.374e+01,1.874e+01,5.164e+01,9.412e+01
4.6,2.587e+02,1.883e+01,5.426e+01,3.318e+02
6.1,1.022e+03,1.922e+01,5.139e+01,1.093e+03
7.6,1.834e+03,1.949e+01,4.883e+01,1.903e+03
9.1,2.931e+03,2.149e+01,4.719e+01,3.000e+03
10.6,4.512e+03,2.281e+01,4.612e+01,4.581e+03
12.2,6.554e+03,2.505e+01,4.853e+01,6.628e+03
13.7,9.605e+03,3.230e+01,5.134e+01,9.689e+03
15.2,1.267e+04,5.693e+01,5.076e+01,1.278e+04
16.7,1.553e+04,1.229e+02,5.123e+01,1.570e+04
18.3,1.975e+04,1.384e+02,5.195e+01,1.995e+04
19.8,2.753e+04,1.423e+02,5.256e+01,2.773e+04
21.3,3.559e+04,1.702e+02,5.440e+01,3.582e+04
22.8,3.812e+04,2.232e+02,5.692e+01,3.840e+04
24.3,3.837e+04,2.671e+02,7.234e+01,3.871e+04
25.9,4.503e+04,3.157e+02,8.343e+01,4.543e+04
27.4,5.674e+04,4.091e+02,1.023e+02,5.726e+04
28.9,5.774e+04,7.481e+02,1.161e+02,5.861e+04
30.4,5.439e+04,1.181e+03,1.606e+02,5.573e+04
31.9,5.383e+04,1.271e+03,1.972e+02,5.529e+04
33.5,5.209e+04,1.104e+03,2.275e+02,5.342e+04
35.0,4.959e+04,8.248e+02,2.167e+02,5.063e+04
36.5,4.260e+04,4.367e+02,1.599e+02,4.320e+04
38.0,4.552e+04,1.474e+02,1.332e+02,4.580e+04
39.6,6.887e+04,1.529e+02,1.725e+02,6.919e+04
41.1,7.197e+04,1.727e+02,1.823e+02,7.233e+04
42.6,5.970e+04,1.607e+02,1.725e+02,6.004e+04
44.1,4.628e+04,1.448e+02,1.434e+02,4.657e+04
45.6,4.191e+04,1.640e+02,1.376e+02,4.221e+04
47.2,4.441e+04,1.992e+02,1.885e+02,4.480e+04
48.7,4.307e+04,1.774e+02,2.017e+02,4.344e+04
