freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.076e+00,7.806e+01,7.314e+00,8.845e+01
1.5,1.468e+01,5.684e+01,3.758e+01,1.091e+02
3.0,1.706e+01,2.963e+01,4.561e+01,9.230e+01
4.6,1.630e+01,2.931e+02,4.577e+01,3.552e+02
6.1,1.645e+01,1.173e+03,4.821e+01,1.237e+03
7.6,1.754e+01,2.250e+03,5.020e+01,2.317e+03
9.1,2.082e+01,3.643e+03,4.977e+01,3.714e+03
10.7,2.728e+01,5.361e+03,5.105e+01,5.439e+03
12.2,3.255e+01,7.677e+03,5.755e+01,7.767e+03
13.7,4.372e+01,1.115e+04,6.490e+01,1.126e+04
15.2,7.469e+01,1.573e+04,6.618e+01,1.587e+04
16.7,9.435e+01,2.064e+04,5.930e+01,2.079e+04
18.3,8.240e+01,2.849e+04,5.999e+01,2.863e+04
19.8,7.923e+01,3.963e+04,8.018e+01,3.979e+04
21.3,7.979e+01,4.814e+04,7.891e+01,4.830e+04
22.8,1.508e+02,4.857e+04,7.026e+01,4.879e+04
24.3,2.686e+02,3.759e+04,6.451e+01,3.792e+04
25.9,2.560e+02,2.479e+04,5.855e+01,2.511e+04
27.4,1.575e+02,1.646e+04,5.314e+01,1.667e+04
28.9,9.159e+01,1.013e+04,6.102e+01,1.028e+04
30.4,9.218e+01,4.717e+03,6.684e+01,4.876e+03
32.0,1.551e+02,2.344e+03,5.751e+01,2.557e+03
33.5,2.178e+02,1.652e+03,5.621e+01,1.926e+03
35.0,2.668e+02,1.641e+03,6.265e+01,1.970e+03
36.5,2.724e+02,1.999e+03,5.885e+01,2.330e+03
38.0,1.747e+02,3.364e+03,5.529e+01,3.594e+03
39.6,1.046e+02,3.742e+03,5.496e+01,3.901e+03
41.1,8.484e+01,3.553e+03,5.229e+01,3.690e+03
42.6,9.445e+01,3.471e+03,5.983e+01,3.625e+03
44.1,9.248e+01,3.179e+03,7.551e+01,3.347e+03
45.6,7.206e+01,3.270e+03,8.756e+01,3.430e+03
47.2,6.976e+01,3.573e+03,1.040e+02,3.746e+03
48.7,8.573e+01,3.617e+03,1.264e+02,3.830e+03
50.2,1.077e+02,3.605e+03,1.397e+02,3.853e+03
51.7,1.123e+02,4.083e+03,1.758e+02,4.371e+03
53.3,1.128e+02,5.017e+03,2.484e+02,5.379e+03
54.8,9.784e+01,6.076e+03,3.868e+02,6.561e+03
56.3,8.610e+01,6.877e+03,6.021e+02,7.565e+03
57.8,8.878e+01,7.132e+03,8.542e+02,8.075e+03
59.3,9.611e+01,6.619e+03,1.088e+03,7.803e+03
60.9,1.043e+02,5.711e+03,1.290e+03,7.105e+03
62.4,1.183e+02,4.503e+03,1.446e+03,6.067e+03
63.9,1.262e+02,3.239e+03,1.635e+03,5.000e+03
65.4,1.419e+02,2.140e+03,1.688e+03,3.970e+03
66.9,1.808e+02,1.319e+03,1.423e+03,2.923e+03
68.5,2.507e+02,8.706e+02,1.091e+03,2.213e+03
70.0,2.595e+02,5.939e+02,7.980e+02,1.651e+03
71.5,2.186e+02,3.945e+02,5.699e+02,1.183e+03
73.0,2.354e+02,2.594e+02,4.488e+02,9.436e+02
74.6,4.793e+02,1.876e+02,3.789e+02,1.046e+03
76.1,5.143e+02,1.702e+02,3.428e+02,1.027e+03
77.6,2.239e+02,1.734e+02,2.673e+02,6.645e+02
79.1,1.731e+02,1.940e+02,2.376e+02,6.046e+02
80.6,1.446e+02,2.184e+02,2.390e+02,6.020e+02
82.2,1.426e+02,2.249e+02,2.361e+02,6.036e+02
83.7,1.456e+02,2.305e+02,2.511e+02,6.272e+02
85.2,1.668e+02,2.727e+02,2.746e+02,7.141e+02
86.7,1.899e+02,3.175e+02,2.899e+02,7.972e+02
88.3,2.034e+02,3.539e+02,2.917e+02,8.491e+02
89.8,2.160e+02,4.722e+02,2.967e+02,9.849e+02
91.3,2.359e+02,6.813e+02,3.247e+02,1.242e+03
92.8,2.910e+02,8.796e+02,3.514e+02,1.522e+03
94.3,4.273e+02,1.020e+03,3.582e+02,1.806e+03
95.9,4.317e+02,1.207e+03,4.019e+02,2.041e+03
97.4,2.673e+02,1.462e+03,4.081e+02,2.137e+03
98.9,2.373e+02,1.631e+03,4.053e+02,2.274e+03
100.4,2.514e+02,1.693e+03,4.335e+02,2.378e+03
101.9,2.442e+02,1.727e+03,4.379e+02,2.409e+03
103.5,3.191e+02,1.631e+03,4.632e+02,2.413e+03
105.0,4.721e+02,1.447e+03,4.849e+02,2.404e+03
106.5,6.427e+02,1.316e+03,4.705e+02,2.429e+03
108.0,6.951e+02,1.226e+03,3.817e+02,2.303e+03
109.6,6.405e+02,1.303e+03,2.686e+02,2.212e+03
111.1,5.318e+02,1.499e+03,2.369e+02,2.268e+03
112.6,4.321e+02,1.738e+03,2.642e+02,2.435e+03
114.1,3.710e+02,1.939e+03,2.831e+02,2.593e+03
115.6,3.054e+02,2.076e+03,2.813e+02,2.662e+03
117.2,2.641e+02,2.181e+03,2.827e+02,2.728e+03
118.7,2.927e+02,2.252e+03,3.079e+02,2.853e+03
120.2,2.823e+02,2.367e+03,4.115e+02,3.061e+03
121.7,1.856e+02,2.381e+03,4.751e+02,3.042e+03
123.2,1.404e+02,2.355e+03,4.869e+02,2.983e+03
124.8,1.242e+02,2.317e+03,5.093e+02,2.951e+03
126.3,1.214e+02,2.243e+03,5.256e+02,2.890e+03
127.8,1.371e+02,2.227e+03,5.644e+02,2.929e+03
129.3,1.685e+02,2.226e+03,5.605e+02,2.955e+03
130.9,1.883e+02,2.242e+03,5.179e+02,2.948e+03
132.4,1.572e+02,1.722e+03,4.208e+02,2.300e+03
133.9,7.608e+01,3.836e+02,1.357e+02,5.954e+02
135.4,5.507e+01,5.912e+01,6.992e+01,1.841e+02
136.9,5.889e+01,5.727e+01,7.005e+01,1.862e+02
138.5,6.674e+01,6.181e+01,6.933e+01,1.979e+02
140.0,6.447e+01,6.056e+01,6.832e+01,1.934e+02
141.5,7.203e+01,5.968e+01,7.713e+01,2.088e+02
143.0,7.834e+01,6.456e+01,7.742e+01,2.203e+02
144.5,8.882e+01,6.955e+01,8.732e+01,2.457e+02
146.1,9.273e+01,6.661e+01,9.148e+01,2.508e+02
147.6,1.092e+02,7.125e+01,9.844e+01,2.789e+02
149.1,1.196e+02,8.464e+01,1.161e+02,3.203e+02
150.6,1.074e+02,8.951e+01,1.258e+02,3.227e+02
152.2,1.120e+02,8.769e+01,1.148e+02,3.144e+02
153.7,9.909e+01,7.553e+01,1.044e+02,2.790e+02
155.2,8.344e+01,6.258e+01,9.369e+01,2.397e+02
156.7,9.447e+01,5.813e+01,8.052e+01,2.331e+02
158.2,9.529e+01,5.023e+01,7.214e+01,2.177e+02
159.8,8.291e+01,5.145e+01,7.076e+01,2.051e+02
161.3,7.582e+01,4.862e+01,6.799e+01,1.924e+02
162.8,7.496e+01,4.176e+01,7.041e+01,1.871e+02
164.3,8.883e+01,4.317e+01,7.325e+01,2.052e+02
165.9,1.168e+02,4.673e+01,7.717e+01,2.407e+02
167.4,1.503e+02,5.103e+01,8.524e+01,2.866e+02
168.9,1.971e+02,6.514e+01,1.131e+02,3.753e+02
170.4,2.963e+02,8.448e+01,1.853e+02,5.660e+02
171.9,5.361e+02,1.312e+02,3.249e+02,9.922e+02
173.5,6.949e+02,1.827e+02,3.802e+02,1.258e+03
175.0,6.684e+02,2.037e+02,3.428e+02,1.215e+03
176.5,6.455e+02,2.104e+02,2.985e+02,1.154e+03
178.0,6.150e+02,1.939e+02,2.640e+02,1.073e+03
179.5,5.948e+02,1.737e+02,2.374e+02,1.006e+03
181.1,5.826e+02,1.572e+02,2.432e+02,9.830e+02
182.6,5.503e+02,1.547e+02,2.420e+02,9.470e+02
184.1,4.923e+02,1.517e+02,2.081e+02,8.520e+02
185.6,4.597e+02,1.487e+02,2.091e+02,8.175e+02
187.2,4.471e+02,1.509e+02,2.162e+02,8.142e+02
188.7,4.281e+02,1.414e+02,2.311e+02,8.006e+02
190.2,4.228e+02,1.333e+02,2.368e+02,7.929e+02
191.7,4.164e+02,1.305e+02,2.590e+02,8.060e+02
